N. Pokédex,Pokémon,Forme,Tipo1,Tipo2,Categoria,Grado,PS,Attacco,Difesa,Attacco sp.,Difesa sp.,Velocità,Totale,Media,Mossa 1,Mossa 2,Mossa 3,Mossa 4,Forte 1 Contro,Forte 2 Contro,Debole 1 Contro,Debole 2 Contro
#0263,Zigzagoon,Forma Normale,Buio,Normale,Pokémon Procione,Base,38,30,41,30,41,60,240,"40,00",Ice Beam,Protect,Rest,Toxic,Spettro - Psico,–,Coleottero - Folletto - Lotta,Lotta
#0263,Zigzagoon,Forma Galar,Normale,,Pokémon Procione,Base,38,30,41,30,41,60,240,"40,00",Ice Beam,Protect,Rest,Toxic,–,–,Lotta,–
#0264,Linoone,Forma Normale,Buio,Normale,Pokémon Sfrecciante,Stadio 1,78,70,61,50,61,100,420,"70,00",Ice Beam,Protect,Rest,Toxic,Spettro - Psico,–,Coleottero - Folletto - Lotta,Lotta
#0264,Linoone,Forma Galar,Normale,,Pokémon Sfrecciante,Stadio 1,78,70,61,50,61,100,420,"70,00",Ice Beam,Protect,Rest,Toxic,–,–,Lotta,–
#0265,Wurmple,,Coleottero,,Pokémon Baco,Base,45,45,35,20,30,20,195,"32,50",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0266,Silcoon,,Coleottero,,Pokémon Bozzolo,Stadio 1,50,35,55,25,25,15,205,"34,17",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0267,Beautifly,,Coleottero,Volante,Pokémon Farfalla,Stadio 2,60,70,50,100,50,65,395,"65,83",,,,,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0268,Cascoon,,Coleottero,,Pokémon Bozzolo,Stadio 1,50,35,55,25,25,15,205,"34,17",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0269,Dustox,,Coleottero,Veleno,Pokémon Velentarma,Stadio 2,60,50,70,50,90,65,385,"64,17",,,,,Erba - Buio - Psico,Folletto - Erba,Fuoco - Volante - Roccia,Terra - Psico
#0270,Lotad,,Acqua,Erba,Pokémon Alga,Base,40,30,30,40,50,30,220,"36,67",Ice Beam,Protect,Rest,Scald,Fuoco - Terra - Roccia,Terra - Roccia - Acqua,Elettro - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0271,Lombre,,Acqua,Erba,Pokémon Giocoso,Stadio 1,60,50,50,60,70,50,340,"56,67",Fake Out,Hydro Pump,Ice Beam,Knock Off,Fuoco - Terra - Roccia,Terra - Roccia - Acqua,Elettro - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0272,Ludicolo,,Acqua,Erba,Pokémon Spensierato,Stadio 2,80,70,70,90,100,70,480,"80,00",Energy Ball,Fake Out,Giga Drain,Hydro Pump,Fuoco - Terra - Roccia,Terra - Roccia - Acqua,Elettro - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0273,Seedot,,Erba,,Pokémon Ghianda,Base,40,40,50,30,30,30,220,"36,67",Protect,Rest,Toxic,,Terra - Roccia - Acqua,–,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,–
#0274,Nuzleaf,,Erba,Buio,Pokémon Scaltro,Stadio 1,70,70,40,60,40,60,340,"56,67",Fake Out,Protect,Rest,Snarl,Terra - Roccia - Acqua,Spettro - Psico,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Coleottero - Folletto - Lotta
#0275,Shiftry,,Erba,Buio,Pokémon Burbero,Stadio 2,90,100,60,90,60,80,480,"80,00",Fake Out,Knock Off,Protect,Rest,Terra - Roccia - Acqua,Spettro - Psico,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Coleottero - Folletto - Lotta
#0276,Taillow,,Normale,Volante,Pokémon Rondinella,Base,40,55,30,30,30,85,270,"45,00",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0277,Swellow,,Normale,Volante,Pokémon Rondine,Stadio 1,60,85,60,75,50,125,455,"75,83",,,,,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0278,Wingull,,Acqua,Volante,Pokémon Gabbiano,Base,40,30,30,55,30,85,270,"45,00",Ice Beam,Knock Off,Protect,Rest,Fuoco - Terra - Roccia,Coleottero - Lotta - Erba,Elettro - Erba,Elettro - Ghiaccio - Roccia
#0279,Pelipper,,Acqua,Volante,Pokémon Alacquatico,Stadio 1,60,50,100,95,70,65,440,"73,33",Hurricane,Hydro Pump,Ice Beam,Knock Off,Fuoco - Terra - Roccia,Coleottero - Lotta - Erba,Elettro - Erba,Elettro - Ghiaccio - Roccia
#0280,Ralts,,Psico,Folletto,Pokémon Sensazione,Base,28,25,25,45,35,40,198,"33,00",Destiny Bond,Knock Off,Light Screen,Protect,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0281,Kirlia,,Psico,Folletto,Pokémon Emozione,Stadio 1,38,35,35,65,55,50,278,"46,33",Destiny Bond,Knock Off,Light Screen,Protect,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0282,Gardevoir,Forma Normale,Psico,Folletto,Pokémon Abbraccio,Stadio 2,68,65,65,125,115,80,518,"86,33",Ally Switch,Dazzling Gleam,Destiny Bond,Energy Ball,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0282,Gardevoir,Mega Gardevoir,Psico,Folletto,Pokémon Abbraccio,MegaEvoluzione,68,85,65,165,135,100,618,"103,00",Ally Switch,Dazzling Gleam,Destiny Bond,Energy Ball,Lotta - Veleno,Lotta - Buio - Drago,Coleottero - Buio - Spettro,Veleno - Acciaio
#0283,Surskit,,Coleottero,Acqua,Pokémon Sfiorapozze,Base,40,30,32,50,52,65,269,"44,83",,,,,Erba - Buio - Psico,Fuoco - Terra - Roccia,Fuoco - Volante - Roccia,Elettro - Erba
#0284,Masquerain,,Coleottero,Volante,Pokémon Occhi,Stadio 1,70,60,62,100,82,80,454,"75,67",,,,,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0285,Shroomish,,Erba,,Pokémon Fungo,Base,60,40,60,40,60,35,295,"49,17",,,,,Terra - Roccia - Acqua,–,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,–
#0286,Breloom,,Erba,Lotta,Pokémon Fungo,Stadio 1,60,130,80,60,60,70,460,"76,67",,,,,Terra - Roccia - Acqua,Buio - Ghiaccio - Normale - Roccia - Acciaio,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Folletto - Volante - Psico
#0287,Slakoth,,Normale,,Pokémon Ozioso,Base,60,60,60,35,35,30,280,"46,67",,,,,–,–,Lotta,–
#0288,Vigoroth,,Normale,,Pokémon Indocile,Stadio 1,80,80,80,55,55,90,440,"73,33",,,,,–,–,Lotta,–
#0289,Slaking,,Normale,,Pokémon Pigrizia,Stadio 2,150,160,100,95,65,100,670,"111,67",,,,,–,–,Lotta,–
#0290,Nincada,,Coleottero,Terra,Pokémon Novizio,Base,31,45,90,30,30,40,266,"44,33",Protect,Rest,Toxic,,Erba - Buio - Psico,Elettro - Fuoco - Veleno - Roccia - Acciaio,Fuoco - Volante - Roccia,Erba - Ghiaccio - Acqua
#0291,Ninjask,,Coleottero,Volante,Pokémon Ninja,Stadio 1,61,90,45,50,50,160,456,"76,00",Acrobatics,Baton Pass,Dig,Dual Wingbeat,Erba - Buio - Psico,Coleottero - Lotta - Erba,Fuoco - Volante - Roccia,Elettro - Ghiaccio - Roccia
#0292,Shedinja,,Coleottero,Spettro,Pokémon Cambiapelle,Sotto-Stadio,1,90,45,30,30,40,236,"39,33",Ally Switch,Baton Pass,Phantom Force,Poltergeist,Erba - Buio - Psico,Spettro - Psico,Fuoco - Volante - Roccia,Buio - Spettro
#0293,Whismur,,Normale,,Pokémon Sussurro,Base,64,51,23,51,23,28,240,"40,00",Howl,Ice Beam,Protect,Rest,–,–,Lotta,–
#0294,Loudred,,Normale,,Pokémon Vocione,Stadio 1,84,71,43,71,43,48,360,"60,00",Earthquake,Howl,Ice Beam,Protect,–,–,Lotta,–
#0295,Exploud,,Normale,,Pokémon Fragore,Stadio 2,104,91,63,91,73,68,490,"81,67",,Blizzard,Boomburst,Earthquake,–,–,Lotta,–
#0296,Makuhita,,Lotta,,Pokémon Coraggio,Base,72,60,30,20,30,25,237,"39,50",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0297,Hariyama,,Lotta,,Pokémon Sberletese,Stadio 1,144,120,60,40,60,50,474,"79,00",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,–,Folletto - Volante - Psico,–
#0298,Azurill,,Normale,Folletto,Pokémon Pois,Baby,50,20,40,20,40,20,190,"31,67",Ice Beam,Knock Off,Light Screen,Protect,–,Lotta - Buio - Drago,Lotta,Veleno - Acciaio
#0299,Nosepass,,Roccia,,Pokémon Bussola,Base,30,45,135,45,90,30,375,"62,50",,,,,Coleottero - Fuoco - Volante - Ghiaccio,–,Lotta - Erba - Terra - Acciaio - Acqua,–
#0300,Skitty,,Normale,,Pokémon Micio,Base,50,45,45,35,35,50,260,"43,33",,,,,–,–,Lotta,–
#0301,Delcatty,,Normale,,Pokémon Finezza,Stadio 1,70,65,65,55,55,90,400,"66,67",,,,,–,–,Lotta,–
#0302,Sableye,Forma Normale,Buio,Spettro,Pokémon Oscurità,Base,50,75,75,65,65,50,380,"63,33",Ally Switch,Fake Out,Foul Play,Helping Hand,Spettro - Psico,Spettro - Psico,Coleottero - Folletto - Lotta,Buio - Spettro
#0302,Sableye,Mega Sableye,Buio,Spettro,Pokémon Oscurità,MegaEvoluzione,50,85,125,85,115,20,480,"80,00",Ally Switch,Fake Out,Foul Play,Helping Hand,Spettro - Psico,Spettro - Psico,Coleottero - Folletto - Lotta,Buio - Spettro
#0303,Mawile,Forma Normale,Acciaio,Folletto,Pokémon Inganno,Base,50,85,85,55,55,50,380,"63,33",Baton Pass,Ice Beam,Knock Off,Protect,Folletto - Ghiaccio - Roccia,Lotta - Buio - Drago,Lotta - Fuoco - Terra,Veleno - Acciaio
#0303,Mawile,Mega Mawile,Acciaio,Folletto,Pokémon Inganno,MegaEvoluzione,50,105,125,55,95,50,480,"80,00",Baton Pass,Ice Beam,Knock Off,Protect,Folletto - Ghiaccio - Roccia,Lotta - Buio - Drago,Lotta - Fuoco - Terra,Veleno - Acciaio
#0304,Aron,,Acciaio,Roccia,Pokémon Corazza,Base,50,70,100,40,40,30,330,"55,00",Earthquake,Head Smash,Protect,Rest,Folletto - Ghiaccio - Roccia,Coleottero - Fuoco - Volante - Ghiaccio,Lotta - Fuoco - Terra,Lotta - Erba - Terra - Acciaio - Acqua
#0305,Lairon,,Acciaio,Roccia,Pokémon Corazza,Stadio 1,60,90,140,50,50,40,430,"71,67",Earthquake,Head Smash,Protect,Rest,Folletto - Ghiaccio - Roccia,Coleottero - Fuoco - Volante - Ghiaccio,Lotta - Fuoco - Terra,Lotta - Erba - Terra - Acciaio - Acqua
#0306,Aggron,Forma Normale,Acciaio,Roccia,Pokémon Corazza,Stadio 2,70,110,180,60,60,50,530,"88,33",Earthquake,Head Smash,Hydro Pump,Ice Beam,Folletto - Ghiaccio - Roccia,Coleottero - Fuoco - Volante - Ghiaccio,Lotta - Fuoco - Terra,Lotta - Erba - Terra - Acciaio - Acqua
#0306,Aggron,Mega Aggron,Acciaio,,Pokémon Corazza,MegaEvoluzione,70,140,230,60,80,50,630,"105,00",Earthquake,Head Smash,Hydro Pump,Ice Beam,Folletto - Ghiaccio - Roccia,–,Lotta - Fuoco - Terra,–
#0307,Meditite,,Lotta,Psico,Pokémon Meditazione,Base,30,40,55,40,55,60,280,"46,67",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,Lotta - Veleno,Folletto - Volante - Psico,Coleottero - Buio - Spettro
#0308,Medicham,Forma Normale,Lotta,Psico,Pokémon Meditazione,Stadio 1,60,60,75,60,75,80,410,"68,33",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,Lotta - Veleno,Folletto - Volante - Psico,Coleottero - Buio - Spettro
#0308,Medicham,Mega Medicham,Lotta,Psico,Pokémon Meditazione,MegaEvoluzione,60,100,85,80,85,100,510,"85,00",,,,,Buio - Ghiaccio - Normale - Roccia - Acciaio,Lotta - Veleno,Folletto - Volante - Psico,Coleottero - Buio - Spettro
#0309,Electrike,,Elettro,,Pokémon Lampo,Base,40,45,40,65,40,65,295,"49,17",Howl,Light Screen,Protect,Rest,Volante - Acqua,–,Terra,–
#0310,Manectric,Forma Normale,Elettro,,Pokémon Scossa,Stadio 1,70,75,60,105,60,105,475,"79,17",Flamethrower,Howl,Light Screen,Overheat,Volante - Acqua,–,Terra,–
#0310,Manectric,Mega Manectric,Elettro,,Pokémon Scossa,MegaEvoluzione,70,75,80,135,80,135,575,"95,83",Flamethrower,Howl,Light Screen,Overheat,Volante - Acqua,–,Terra,–
#0311,Plusle,,Elettro,,Pokémon Incitamento,Base,60,50,40,85,75,95,405,"67,50",,,,,Volante - Acqua,–,Terra,–
#0312,Minun,,Elettro,,Pokémon Incitamento,Base,60,40,50,75,85,95,405,"67,50",,,,,Volante - Acqua,–,Terra,–
#0313,Volbeat,,Coleottero,,Pokémon Lucciola,Base,65,73,75,47,85,85,430,"71,67",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0314,Illumise,,Coleottero,,Pokémon Lucciola,Base,65,47,75,73,85,85,430,"71,67",,,,,Erba - Buio - Psico,–,Fuoco - Volante - Roccia,–
#0315,Roselia,,Erba,Veleno,Pokémon Spina,Stadio 1,50,60,45,100,80,65,400,"66,67",Protect,Rest,Toxic,,Terra - Roccia - Acqua,Folletto - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Terra - Psico
#0316,Gulpin,,Veleno,,Pokémon Stomaco,Base,70,43,53,43,53,40,302,"50,33",,,,,Folletto - Erba,–,Terra - Psico,–
#0317,Swalot,,Veleno,,Pokémon Velenosacco,Stadio 1,100,73,83,73,83,55,467,"77,83",,,,,Folletto - Erba,–,Terra - Psico,–
#0318,Carvanha,,Acqua,Buio,Pokémon Feroce,Base,45,90,20,65,20,65,305,"50,83",Destiny Bond,Flip Turn,Hydro Pump,Ice Beam,Fuoco - Terra - Roccia,Spettro - Psico,Elettro - Erba,Coleottero - Folletto - Lotta
#0319,Sharpedo,Forma Normale,Acqua,Buio,Pokémon Brutale,Stadio 1,70,120,40,95,40,95,460,"76,67",Bounce,Bulldoze,Close Combat,Crunch,Fuoco - Terra - Roccia,Spettro - Psico,Elettro - Erba,Coleottero - Folletto - Lotta
#0319,Sharpedo,Mega Sharpedo,Acqua,Buio,Pokémon Brutale,MegaEvoluzione,70,140,70,110,65,105,560,"93,33",Bounce,Bulldoze,Close Combat,Crunch,Fuoco - Terra - Roccia,Spettro - Psico,Elettro - Erba,Coleottero - Folletto - Lotta
#0320,Wailmer,,Acqua,,Pokémon Balenottero,Base,130,70,35,70,35,60,400,"66,67",Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0321,Wailord,,Acqua,,Pokémon Megabalena,Stadio 1,170,90,45,90,45,60,500,"83,33",Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0322,Numel,,Fuoco,Terra,Pokémon Torpore,Base,60,60,40,65,45,35,305,"50,83",,,,,Coleottero - Erba - Ghiaccio - Acciaio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Roccia - Acqua,Erba - Ghiaccio - Acqua
#0323,Camerupt,Forma Normale,Fuoco,Terra,Pokémon Eruzione,Stadio 1,70,100,70,105,75,40,460,"76,67",,,,,Coleottero - Erba - Ghiaccio - Acciaio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Roccia - Acqua,Erba - Ghiaccio - Acqua
#0323,Camerupt,Mega Camerupt,Fuoco,Terra,Pokémon Eruzione,MegaEvoluzione,70,120,100,145,105,20,560,"93,33",,,,,Coleottero - Erba - Ghiaccio - Acciaio,Elettro - Fuoco - Veleno - Roccia - Acciaio,Terra - Roccia - Acqua,Erba - Ghiaccio - Acqua
#0324,Torkoal,,Fuoco,,Pokémon Carbone,Base,70,85,140,85,70,20,470,"78,33",Body Press,Burning Jealousy,Earth Power,Earthquake,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0325,Spoink,,Psico,,Pokémon Molla,Base,60,25,35,70,80,60,330,"55,00",,,,,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0326,Grumpig,,Psico,,Pokémon Raggiro,Stadio 1,80,45,65,90,110,80,470,"78,33",,,,,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0327,Spinda,,Normale,,Pokémon Macchipanda,Base,60,60,60,60,60,60,360,"60,00",,,,,–,–,Lotta,–
#0328,Trapinch,,Terra,,Pokémon Trappola,Base,45,100,45,45,45,10,290,"48,33",Earthquake,Protect,Rest,Toxic,Elettro - Fuoco - Veleno - Roccia - Acciaio,–,Erba - Ghiaccio - Acqua,–
#0329,Vibrava,,Terra,Drago,Pokémon Vibrazione,Stadio 1,50,70,50,50,50,70,340,"56,67",Boomburst,Earthquake,Protect,Rest,Elettro - Fuoco - Veleno - Roccia - Acciaio,Drago,Erba - Ghiaccio - Acqua,Drago - Folletto - Ghiaccio
#0330,Flygon,,Terra,Drago,Pokémon Magico,Stadio 2,80,100,80,80,80,100,520,"86,67",Air Slash,Boomburst,Bulldoze,Draco Meteor,Elettro - Fuoco - Veleno - Roccia - Acciaio,Drago,Erba - Ghiaccio - Acqua,Drago - Folletto - Ghiaccio
#0331,Cacnea,,Erba,,Pokémon Cactus,Base,50,85,40,85,40,35,335,"55,83",,,,,Terra - Roccia - Acqua,–,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,–
#0332,Cacturne,,Erba,Buio,Pokémon Spavento,Stadio 1,70,115,60,115,60,55,475,"79,17",,,,,Terra - Roccia - Acqua,Spettro - Psico,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Coleottero - Folletto - Lotta
#0333,Swablu,,Normale,Volante,Pokémon Alidicotone,Base,45,40,60,40,75,50,310,"51,67",Ice Beam,Protect,Rest,Roost,–,Coleottero - Lotta - Erba,Lotta,Elettro - Ghiaccio - Roccia
#0334,Altaria,Forma Normale,Drago,Volante,Pokémon Canterino,Stadio 1,75,70,90,70,105,80,490,"81,67",Earthquake,Ice Beam,Protect,Rest,Drago,Coleottero - Lotta - Erba,Drago - Folletto - Ghiaccio,Elettro - Ghiaccio - Roccia
#0334,Altaria,Mega Altaria,Drago,Folletto,Pokémon Canterino,MegaEvoluzione,75,110,110,110,105,80,590,"98,33",Earthquake,Ice Beam,Protect,Rest,Drago,Lotta - Buio - Drago,Drago - Folletto - Ghiaccio,Veleno - Acciaio
#0335,Zangoose,,Normale,,Pokémon Furogatto,Base,73,115,60,60,60,90,458,"76,33",,,,,–,–,Lotta,–
#0336,Seviper,,Veleno,,Pokémon Zannaserpe,Base,73,100,60,100,60,65,458,"76,33",,,,,Folletto - Erba,–,Terra - Psico,–
#0337,Lunatone,,Roccia,Psico,Pokémon Meteorite,Base,90,55,65,95,85,70,460,"76,67",Baton Pass,Earthquake,Ice Beam,Light Screen,Coleottero - Fuoco - Volante - Ghiaccio,Lotta - Veleno,Lotta - Erba - Terra - Acciaio - Acqua,Coleottero - Buio - Spettro
#0338,Solrock,,Roccia,Psico,Pokémon Meteorite,Base,90,95,85,55,65,70,460,"76,67",Baton Pass,Earthquake,Light Screen,Protect,Coleottero - Fuoco - Volante - Ghiaccio,Lotta - Veleno,Lotta - Erba - Terra - Acciaio - Acqua,Coleottero - Buio - Spettro
#0339,Barboach,,Acqua,Terra,Pokémon Baffetti,Base,50,48,43,46,41,60,288,"48,00",Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,Elettro - Fuoco - Veleno - Roccia - Acciaio,Elettro - Erba,Erba - Ghiaccio - Acqua
#0340,Whiscash,,Acqua,Terra,Pokémon Baffetti,Stadio 1,110,78,73,76,71,60,468,"78,00",Earthquake,Hydro Pump,Ice Beam,Protect,Fuoco - Terra - Roccia,Elettro - Fuoco - Veleno - Roccia - Acciaio,Elettro - Erba,Erba - Ghiaccio - Acqua
#0341,Corphish,,Acqua,,Pokémon Birbone,Base,43,80,65,50,35,35,308,"51,33",Hydro Pump,Ice Beam,Knock Off,Protect,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0342,Crawdaunt,,Acqua,Buio,Pokémon Canaglia,Stadio 1,63,120,85,90,55,55,468,"78,00",Aqua Jet,Brick Break,Close Combat,Crabhammer,Fuoco - Terra - Roccia,Spettro - Psico,Elettro - Erba,Coleottero - Folletto - Lotta
#0343,Baltoy,,Terra,Psico,Pokémon Argilla,Base,40,40,55,40,70,55,300,"50,00",Earthquake,Ice Beam,Light Screen,Protect,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Veleno,Erba - Ghiaccio - Acqua,Coleottero - Buio - Spettro
#0344,Claydol,,Terra,Psico,Pokémon Argilla,Stadio 1,60,70,105,70,120,75,500,"83,33",Ally Switch,Earthquake,Ice Beam,Light Screen,Elettro - Fuoco - Veleno - Roccia - Acciaio,Lotta - Veleno,Erba - Ghiaccio - Acqua,Coleottero - Buio - Spettro
#0345,Lileep,,Roccia,Erba,Pokémon Fiordimare,Base,66,41,77,61,87,23,355,"59,17",Protect,Rest,Stealth Rock,Toxic,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0346,Cradily,,Roccia,Erba,Pokémon Lepade,Stadio 1,86,81,97,81,107,43,495,"82,50",Ancient Power,Earth Power,Earthquake,Energy Ball,Coleottero - Fuoco - Volante - Ghiaccio,Terra - Roccia - Acqua,Lotta - Erba - Terra - Acciaio - Acqua,Coleottero - Fuoco - Volante - Ghiaccio - Veleno
#0347,Anorith,,Roccia,Coleottero,Pokémon Primaceo,Base,45,95,50,40,50,75,355,"59,17",Knock Off,Protect,Rapid Spin,Rest,Coleottero - Fuoco - Volante - Ghiaccio,Erba - Buio - Psico,Lotta - Erba - Terra - Acciaio - Acqua,Fuoco - Volante - Roccia
#0348,Armaldo,,Roccia,Coleottero,Pokémon Piastre,Stadio 1,75,125,100,70,80,45,495,"82,50",Earthquake,Knock Off,Protect,Rapid Spin,Coleottero - Fuoco - Volante - Ghiaccio,Erba - Buio - Psico,Lotta - Erba - Terra - Acciaio - Acqua,Fuoco - Volante - Roccia
#0349,Feebas,,Acqua,,Pokémon Pesce,Base,20,15,20,10,55,80,200,"33,33",Ice Beam,Light Screen,Protect,Rest,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0350,Milotic,,Acqua,,Pokémon Tenerezza,Stadio 1,95,60,79,100,125,81,540,"90,00",Blizzard,Breaking Swipe,Coil,Dragon Pulse,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0351,Castform,Forma Normale,Normale,,Pokémon Meteo,Base,70,70,70,70,70,70,420,"70,00",,,,,–,–,Lotta,–
#0351,Castform,Forma Sole,Fuoco,,Pokémon Meteo,Base,70,70,70,70,70,70,420,"70,00",,,,,Coleottero - Erba - Ghiaccio - Acciaio,–,Terra - Roccia - Acqua,–
#0351,Castform,Forma Pioggia,Acqua,,Pokémon Meteo,Base,70,70,70,70,70,70,420,"70,00",,,,,Fuoco - Terra - Roccia,–,Elettro - Erba,–
#0351,Castform,Forma Grandine,Ghiaccio,,Pokémon Meteo,Base,70,70,70,70,70,70,420,"70,00",,,,,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0352,Kecleon,,Normale,,Pokémon Mutacolore,Base,60,90,70,60,120,40,440,"73,33",,,,,–,–,Lotta,–
#0353,Shuppet,,Spettro,,Pokémon Pupazzo,Base,44,75,35,63,33,45,295,"49,17",,,,,Spettro - Psico,–,Buio - Spettro,–
#0354,Banette,Forma Normale,Spettro,,Pokémon Marionetta,Stato 1,64,115,65,83,63,65,455,"75,83",,,,,Spettro - Psico,–,Buio - Spettro,–
#0354,Banette,Mega Banette,Spettro,,Pokémon Marionetta,MegaEvoluzione,64,165,75,93,83,75,555,"92,50",,,,,Spettro - Psico,–,Buio - Spettro,–
#0355,Duskull,,Spettro,,Pokémon Requiem,Base,20,40,90,30,90,25,295,"49,17",Destiny Bond,Ice Beam,Protect,Rest,Spettro - Psico,–,Buio - Spettro,–
#0356,Dusclops,,Spettro,,Pokémon Ipnosguardo,Stato 1,40,70,130,60,130,25,455,"75,83",Ally Switch,Brick Break,Bulldoze,Destiny Bond,Spettro - Psico,–,Buio - Spettro,–
#0357,Tropius,,Erba,Volante,Pokémon Frutto,Base,99,68,83,72,87,51,460,"76,67",,,,,Terra - Roccia - Acqua,Coleottero - Lotta - Erba,Coleottero - Fuoco - Volante - Ghiaccio - Veleno,Elettro - Ghiaccio - Roccia
#0358,Chimecho,,Psico,,Pokémon Vencampana,Base,75,50,80,95,90,65,455,"75,83",,,,,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0359,Absol,Forma Normale,Buio,,Pokémon Catastrofe,Base,65,130,60,75,60,75,465,"77,50",Baton Pass,Bounce,Close Combat,Detect,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0359,Absol,Mega Absol,Buio,,Pokémon Catastrofe,MegaEvoluzione,65,150,60,115,60,115,565,"94,17",Baton Pass,Bounce,Close Combat,Detect,Spettro - Psico,–,Coleottero - Folletto - Lotta,–
#0360,Wynaut,,Psico,,Pokémon Brillante,Baby,95,23,48,23,48,23,260,"43,33",Destiny Bond,,,,Lotta - Veleno,–,Coleottero - Buio - Spettro,–
#0361,Snorunt,,Ghiaccio,,Pokémon Cappelneve,Base,50,50,50,50,50,50,300,"50,00",Ice Beam,Light Screen,Protect,Rest,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0362,Glalie,Forma Normale,Ghiaccio,,Pokémon Tuttomuso,Stadio 1,80,80,80,80,80,80,480,"80,00",Earthquake,Ice Beam,Light Screen,Protect,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0362,Glalie,Mega Glalie,Ghiaccio,,Pokémon Tuttomuso,MegaEvoluzione,80,120,80,120,80,100,580,"96,67",Earthquake,Ice Beam,Light Screen,Protect,Drago - Volante - Erba - Terra,–,Lotta - Fuoco - Roccia - Acciaio,–
#0363,Spheal,,Ghiaccio,Acqua,Pokémon Rotolante,Base,70,40,50,55,50,25,290,"48,33",Earthquake,Ice Beam,Protect,Rest,Drago - Volante - Erba - Terra,Fuoco - Terra - Roccia,Lotta - Fuoco - Roccia - Acciaio,Elettro - Erba
#0364,Sealeo,,Ghiaccio,Acqua,Pokémon Rotapalla,Stadio 1,90,60,70,75,70,45,410,"68,33",Earthquake,Ice Beam,Protect,Rest,Drago - Volante - Erba - Terra,Fuoco - Terra - Roccia,Lotta - Fuoco - Roccia - Acciaio,Elettro - Erba
#0365,Walrein,,Ghiaccio,Acqua,Pokémon Spaccagelo,Stadio 2,110,80,90,95,90,65,530,"88,33",Earthquake,Hydro Pump,Ice Beam,Protect,Drago - Volante - Erba - Terra,Fuoco - Terra - Roccia,Lotta - Fuoco - Roccia - Acciaio,Elettro - Erba
#0366,Clamperl,,Acqua,,Pokémon Bivalve,Base,35,64,85,74,55,32,345,"57,50",,,,,Fuoco - Terra - Roccia,–,Elettro - Erba,–
